Sex,Age,Height,Team,NOC,Games,Game Type,Year,Date,Season,City,Sport,Event,Medal,Did Medal
M,19,193,Brazil,BRA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Football,Football Men's Football,Silver,1
M,19,178,Brazil,BRA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Football,Football Men's Football,Gold,1
M,19,175,Brazil,BRA,2016 Summer,Summer,2016,2016-01-01T01:00:00Z,Summer,Rio de Janeiro,Football,Football Men's Football,Gold,1
F,29,178,Romania,ROU,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Gold,1
F,24,174,Russia,RUS,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Fencing,"Fencing Women's Foil, Team",Silver,1
M,29,210,Italy,ITA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Basketball,Basketball Men's Basketball,Silver,1
M,21,178,Italy,ITA,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Archery,Archery Men's Individual,Gold,1
M,25,178,Italy,ITA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Archery,Archery Men's Team,Silver,1
M,29,178,Italy,ITA,2012 Summer,Summer,2012,2012-01-01T01:00:00Z,Summer,London,Archery,Archery Men's Team,Gold,1
F,24,163,United States,USA,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Softball,Softball Women's Softball,Silver,1
F,31,165,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver,1
F,31,165,Russia,RUS,2004 Summer,Summer,2004,2004-01-01T01:00:00Z,Summer,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold,1
F,35,165,Russia,RUS,2008 Summer,Summer,2008,2008-01-01T01:00:00Z,Summer,Beijing,Shooting,"Shooting Women's Air Rifle, 10 metres",Silver,1
